Year,Sex,State,Number of students at primary level
2019,Male,Negeri Sembilan,53375
2019,Male,Pahang,75044
2019,Male,Perak,103598
2019,Male,Perlis,12198
2019,Male,Pulau Pinang,67406
2019,Male,Sabah ,146301
2019,Male,Sarawak,126465
2019,Male,Selangor,271294
2019,Male,Terengganu,65863
2019,Male,W.P. Kuala Lumpur,66246
2019,Male,W.P. Labuan,4816
2019,Male,W.P. Putrajaya,9437
2019,Female,Malaysia,1330007
2019,Female,Johor,161024
2019,Female,Kedah,93091
2019,Female,Kelantan,84187
2019,Female,Melaka,40810
2019,Female,Negeri Sembilan,50954
2019,Female,Pahang,71636
2019,Female,Perak,98190
2019,Female,Perlis,11452
2019,Female,Pulau Pinang,64169
2019,Female,Sabah ,137965
2019,Female,Sarawak,118348
2019,Female,Selangor,257737
2019,Female,Terengganu,62688
2019,Female,W.P. Kuala Lumpur,64030
2019,Female,W.P. Labuan,4577
2019,Female,W.P. Putrajaya,9149
2000,Male,Malaysia,1489300
2000,Male,Johor,176997
2000,Male,Kedah,113203
2000,Male,Kelantan,115613
2000,Male,Melaka,41857
2000,Male,Negeri Sembilan,57306
2000,Male,Pahang,89908
2000,Male,Perak,140760
2000,Male,Perlis,13981
2000,Male,Pulau Pinang,71899
2000,Male,Sabah ,157314
2000,Male,Sarawak,140391
2000,Male,Selangor,212709
2000,Male,Terengganu,77311
2000,Male,W.P. Kuala Lumpur,80051
2000,Male,W.P. Labuan,0
2000,Male,W.P. Putrajaya,0
2000,Female,Malaysia,1409748
2000,Female,Johor,169001
2000,Female,Kedah,107605
2000,Female,Kelantan,110760
2000,Female,Melaka,39562
2000,Female,Negeri Sembilan,54014
2000,Female,Pahang,85621
2000,Female,Perak,134054
2000,Female,Perlis,13523
2000,Female,Pulau Pinang,67533
2000,Female,Sabah ,147515
2000,Female,Sarawak,132140
2000,Female,Selangor,199284
2000,Female,Terengganu,74107
2000,Female,W.P. Kuala Lumpur,75029
2000,Female,W.P. Labuan,0
2000,Female,W.P. Putrajaya,0
2001,Male,Malaysia,1492437
2001,Male,Johor,177540
2001,Male,Kedah,113683
2001,Male,Kelantan,116441
2001,Male,Melaka,42184
2001,Male,Negeri Sembilan,57692
2001,Male,Pahang,88726
2001,Male,Perak,139325
2001,Male,Perlis,13972
2001,Male,Pulau Pinang,71666
2001,Male,Sabah ,152001
2001,Male,Sarawak,140640
2001,Male,Selangor,220175
2001,Male,Terengganu,76901
2001,Male,W.P. Kuala Lumpur,77454
2001,Male,W.P. Labuan,4037
2001,Male,W.P. Putrajaya,0
2001,Female,Malaysia,1416237
2001,Female,Johor,170132
2001,Female,Kedah,107934
2001,Female,Kelantan,110748
2001,Female,Melaka,39798
2001,Female,Negeri Sembilan,54507
2001,Female,Pahang,84351
2001,Female,Perak,132585
2001,Female,Perlis,13244
2001,Female,Pulau Pinang,67582
2001,Female,Sabah ,143854
2001,Female,Sarawak,132353
2001,Female,Selangor,207007
2001,Female,Terengganu,73789
2001,Female,W.P. Kuala Lumpur,74539
2001,Female,W.P. Labuan,3814
2001,Female,W.P. Putrajaya,0
2002,Male,Malaysia,1519732
2002,Male,Johor,182785
2002,Male,Kedah,116608
2002,Male,Kelantan,117437
2002,Male,Melaka,43091
2002,Male,Negeri Sembilan,57949
2002,Male,Pahang,89288
2002,Male,Perak,141854
2002,Male,Perlis,14448
2002,Male,Pulau Pinang,73586
2002,Male,Sabah ,149791
2002,Male,Sarawak,142986
2002,Male,Selangor,230454
2002,Male,Terengganu,76931
2002,Male,W.P. Kuala Lumpur,78388
2002,Male,W.P. Labuan,4136
2002,Male,W.P. Putrajaya,0
2002,Female,Malaysia,1439921
2002,Female,Johor,174054
2002,Female,Kedah,110719
2002,Female,Kelantan,111175
2002,Female,Melaka,40793
2002,Female,Negeri Sembilan,55001
2002,Female,Pahang,84928
2002,Female,Perak,134735
2002,Female,Perlis,13524
2002,Female,Pulau Pinang,69730
2002,Female,Sabah ,141314
2002,Female,Sarawak,134272
2002,Female,Selangor,216126
2002,Female,Terengganu,73771
2002,Female,W.P. Kuala Lumpur,75855
2002,Female,W.P. Labuan,3924
2002,Female,W.P. Putrajaya,0
2003,Male,Malaysia,1572006
2003,Male,Johor,190473
2003,Male,Kedah,121601
2003,Male,Kelantan,121588
2003,Male,Melaka,45199
2003,Male,Negeri Sembilan,59629
2003,Male,Pahang,91916
2003,Male,Perak,144665
2003,Male,Perlis,14880
2003,Male,Pulau Pinang,75809
2003,Male,Sabah ,151710
2003,Male,Sarawak,148126
2003,Male,Selangor,243591
2003,Male,Terengganu,78470
2003,Male,W.P. Kuala Lumpur,79967
2003,Male,W.P. Labuan,4382
2003,Male,W.P. Putrajaya,0
2003,Female,Malaysia,1490388
2003,Female,Johor,180982
2003,Female,Kedah,115801
2003,Female,Kelantan,115367
2003,Female,Melaka,43273
2003,Female,Negeri Sembilan,57096
2003,Female,Pahang,87526
2003,Female,Perak,137492
2003,Female,Perlis,14065
2003,Female,Pulau Pinang,71495
2003,Female,Sabah ,142723
2003,Female,Sarawak,139540
2003,Female,Selangor,228648
2003,Female,Terengganu,75003
2003,Female,W.P. Kuala Lumpur,77279
2003,Female,W.P. Labuan,4098
2003,Female,W.P. Putrajaya,0
2004,Male,Malaysia,1603500
2004,Male,Johor,195229
2004,Male,Kedah,124064
2004,Male,Kelantan,121264
2004,Male,Melaka,46803
2004,Male,Negeri Sembilan,60950
2004,Male,Pahang,92663
2004,Male,Perak,146148
2004,Male,Perlis,15007
2004,Male,Pulau Pinang,79183
2004,Male,Sabah ,152133
2004,Male,Sarawak,150262
2004,Male,Selangor,256114
2004,Male,Terengganu,78281
2004,Male,W.P. Kuala Lumpur,80988
2004,Male,W.P. Labuan,4411
2004,Male,W.P. Putrajaya,0
2004,Female,Malaysia,1517386
2004,Female,Johor,185117
2004,Female,Kedah,117938
2004,Female,Kelantan,114809
2004,Female,Melaka,44191
2004,Female,Negeri Sembilan,57751
2004,Female,Pahang,88013
2004,Female,Perak,138347
2004,Female,Perlis,14089
2004,Female,Pulau Pinang,74897
2004,Female,Sabah ,143398
2004,Female,Sarawak,141170
2004,Female,Selangor,240287
2004,Female,Terengganu,75064
2004,Female,W.P. Kuala Lumpur,78209
2004,Female,W.P. Labuan,4106
2004,Female,W.P. Putrajaya,0
2005,Male,Malaysia,1612153
2005,Male,Johor,196553
2005,Male,Kedah,125473
2005,Male,Kelantan,121168
2005,Male,Melaka,47044
2005,Male,Negeri Sembilan,61234
2005,Male,Pahang,91998
2005,Male,Perak,146313
2005,Male,Perlis,14800
2005,Male,Pulau Pinang,80569
2005,Male,Sabah ,151616
2005,Male,Sarawak,148724
2005,Male,Selangor,264372
2005,Male,Terengganu,77573
2005,Male,W.P. Kuala Lumpur,80351
2005,Male,W.P. Labuan,4365
2005,Male,W.P. Putrajaya,0
2005,Female,Malaysia,1525127
2005,Female,Johor,185829
2005,Female,Kedah,119049
2005,Female,Kelantan,114399
2005,Female,Melaka,44503
2005,Female,Negeri Sembilan,58671
2005,Female,Pahang,87409
2005,Female,Perak,138385
2005,Female,Perlis,14027
2005,Female,Pulau Pinang,76277
2005,Female,Sabah ,142787
2005,Female,Sarawak,139845
2005,Female,Selangor,248323
2005,Female,Terengganu,74328
2005,Female,W.P. Kuala Lumpur,77174
2005,Female,W.P. Labuan,4121
2005,Female,W.P. Putrajaya,0
2006,Male,Malaysia,1612154
2006,Male,Johor,196484
2006,Male,Kedah,125583
2006,Male,Kelantan,119062
2006,Male,Melaka,47411
2006,Male,Negeri Sembilan,61316
2006,Male,Pahang,91542
2006,Male,Perak,144539
2006,Male,Perlis,14698
2006,Male,Pulau Pinang,81269
2006,Male,Sabah ,149172
2006,Male,Sarawak,149871
2006,Male,Selangor,270574
2006,Male,Terengganu,76745
2006,Male,W.P. Kuala Lumpur,79448
2006,Male,W.P. Labuan,4440
2006,Male,W.P. Putrajaya,0
2006,Female,Malaysia,1524487
2006,Female,Johor,185807
2006,Female,Kedah,119368
2006,Female,Kelantan,112684
2006,Female,Melaka,44482
2006,Female,Negeri Sembilan,58459
2006,Female,Pahang,86565
2006,Female,Perak,136469
2006,Female,Perlis,13800
2006,Female,Pulau Pinang,77131
2006,Female,Sabah ,140471
2006,Female,Sarawak,141124
2006,Female,Selangor,254777
2006,Female,Terengganu,73365
2006,Female,W.P. Kuala Lumpur,75816
2006,Female,W.P. Labuan,4169
2006,Female,W.P. Putrajaya,0
2007,Male,Malaysia,1628388
2007,Male,Johor,200227
2007,Male,Kedah,126826
2007,Male,Kelantan,117846
2007,Male,Melaka,47901
2007,Male,Negeri Sembilan,61595
2007,Male,Pahang,92211
2007,Male,Perak,145009
2007,Male,Perlis,14393
2007,Male,Pulau Pinang,81984
2007,Male,Sabah ,149686
2007,Male,Sarawak,151773
2007,Male,Selangor,275819
2007,Male,Terengganu,76865
2007,Male,W.P. Kuala Lumpur,79013
2007,Male,W.P. Labuan,4313
2007,Male,W.P. Putrajaya,2927
2007,Female,Malaysia,1539387
2007,Female,Johor,188601
2007,Female,Kedah,120975
2007,Female,Kelantan,111736
2007,Female,Melaka,45082
2007,Female,Negeri Sembilan,59146
2007,Female,Pahang,87171
2007,Female,Perak,137209
2007,Female,Perlis,13724
2007,Female,Pulau Pinang,78286
2007,Female,Sabah ,139967
2007,Female,Sarawak,142415
2007,Female,Selangor,259306
2007,Female,Terengganu,73716
2007,Female,W.P. Kuala Lumpur,75182
2007,Female,W.P. Labuan,4083
2007,Female,W.P. Putrajaya,2788
2008,Male,Malaysia,1621693
2008,Male,Johor,199616
2008,Male,Kedah,125223
2008,Male,Kelantan,115966
2008,Male,Melaka,48919
2008,Male,Negeri Sembilan,61139
2008,Male,Pahang,91039
2008,Male,Perak,141891
2008,Male,Perlis,14839
2008,Male,Pulau Pinang,81453
2008,Male,Sabah ,150481
2008,Male,Sarawak,151696
2008,Male,Selangor,278891
2008,Male,Terengganu,75769
2008,Male,W.P. Kuala Lumpur,77183
2008,Male,W.P. Labuan,4246
2008,Male,W.P. Putrajaya,3342
2008,Female,Malaysia,1532397
2008,Female,Johor,187672
2008,Female,Kedah,118978
2008,Female,Kelantan,110073
2008,Female,Melaka,45724
2008,Female,Negeri Sembilan,58390
2008,Female,Pahang,86281
2008,Female,Perak,134354
2008,Female,Perlis,14034
2008,Female,Pulau Pinang,78090
2008,Female,Sabah ,140984
2008,Female,Sarawak,142235
2008,Female,Selangor,262274
2008,Female,Terengganu,72478
2008,Female,W.P. Kuala Lumpur,73589
2008,Female,W.P. Labuan,4081
2008,Female,W.P. Putrajaya,3160
2009,Male,Malaysia,1601834
2009,Male,Johor,196638
2009,Male,Kedah,123011
2009,Male,Kelantan,113604
2009,Male,Melaka,48032
2009,Male,Negeri Sembilan,60172
2009,Male,Pahang,89714
2009,Male,Perak,137798
2009,Male,Perlis,14343
2009,Male,Pulau Pinang,80001
2009,Male,Sabah ,151147
2009,Male,Sarawak,150583
2009,Male,Selangor,279312
2009,Male,Terengganu,74715
