state,year,pop_total,births_total,deaths_total,rows
Sarawak,2009,9803.7,175012,44960,2
Sarawak,2010,9947.900000000001,165896,41584,2
Sarawak,2011,10111.5,173532,44472,2
Sarawak,2012,10278.7,172712,44984,2
Sarawak,2013,10569.099999999999,161652,44924,2
Sarawak,2014,10655.5,164196,46744,2
Sarawak,2015,10805.1,159016,48800,2
Sarawak,2016,10954.1,151940,50432,2
Sarawak,2017,11066.0,150616,52468,2
Sarawak,2018,11166.3,146496,55312,2
Sarawak,2019,11223.5,146688,56100,2
Selangor,2000,16755.1,366540,50824,2
Selangor,2001,17269.300000000003,351032,53472,2
Selangor,2002,17784.4,358940,55688,2
Selangor,2003,18309.1,359732,57180,2
Selangor,2004,18851.199999999997,372704,58464,2
Selangor,2005,19398.5,369824,61484,2
Selangor,2006,19944.8,378948,62780,2
Selangor,2007,20508.3,388220,63612,2
Selangor,2008,21073.8,401136,70596,2
Selangor,2009,21671.5,412092,73492,2
Selangor,2010,22009.4,393716,74232,2
Selangor,2011,22401.6,414744,77408,2
Selangor,2012,22810.0,431784,84080,2
Selangor,2013,23618.9,412692,86708,2
Selangor,2014,24204.6,435728,90588,2
Selangor,2015,24711.6,432524,95216,2
Selangor,2016,25165.6,418644,102352,2
Selangor,2017,25523.7,415948,106932,2
Selangor,2018,25900.1,408500,109548,2
Selangor,2019,26025.0,395344,111144,2
